"MatchID","HomeTeam","AwayTeam","HomeWinProb","DrawProb","AwayWinProb","Over2_5Prob","Under2_5Prob","Home_xPTS","Away_xPTS"
7530,"France","Australia",0.5118,0.3517,0.1365,0.4938,0.5062,1.8871,0.7612
7532,"Peru","Denmark",0.581,0.2477,0.1713,0.6302,0.3698,1.9907,0.7616
7546,"Peru","France",0.0621,0.1868,0.7511,0.4524,0.5476,0.3731,2.4401
7547,"Denmark","Australia",0.2207,0.301,0.4783,0.4368,0.5632,0.9631,1.7359
7562,"Australia","Peru",0.7234,0.2155,0.0611,0.3111,0.6889,2.3857,0.3988
7563,"France","Denmark",0.3149,0.599,0.0861,0.0172,0.9828,1.5437,0.8573
