bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,1.084,,,,,,,,,,,,06c1d49a-654e-4573-a41c-f2829e99c8b4,2190,,"[70.4, 62.7]",69276,47,,,,,-2.1149542,,Left Foot,,,,"[60.9, 47.0]",,Ground Pass,,18.350477,,,,,Sergio Busquets i Burgos,,,,,,,2,Regular Play,Pedro Eliezer Rodríguez Ledesma,3958.0,Right Wing,94,Barcelona,217,['588ea883-f98e-48d2-8e0d-c70dba97d94a'],6,,,,,,,,,,,,,,,Barcelona,00:02:06.997,Pass,
,,,,,,,,,,,,,,,,,,1.521,,,,,,,,,,,,8fdeb0f5-de64-4050-b15d-e127e56cb6ff,2194,,"[60.9, 46.8]",69276,47,,,,,-1.0628972,,Right Foot,,,,"[66.8, 36.2]",,Ground Pass,,12.131364,,,,,Andrés Iniesta Luján,,,,,,,2,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,94,Barcelona,217,"['44b74028-f261-4456-8303-a2d74c69a265', 'c7b9ec97-06cc-4366-99ad-c401e1146413']",8,,,,,,,,,,,,,,,Barcelona,00:02:08.501,Pass,True
,,,,,,,,,,,,,,,,,,1.0604,,,,,,,,,,,,281edf7e-9abf-40b1-8b7e-74a1ff637bd8,2197,,"[70.0, 29.7]",69276,47,,,,,1.4027534,,Right Foot,,,,"[71.9, 40.9]",,Ground Pass,,11.360018,,,,,Lionel Andrés Messi Cuccittini,,,,,,,2,Regular Play,Andrés Iniesta Luján,5216.0,Left Center Midfield,94,Barcelona,217,['f215a72f-ffc2-461d-87bd-f82e568de66d'],13,,,,,,,,,,,,,,,Barcelona,00:02:13.064,Pass,
,,,,,,,,,,,,,,,,,,0.9285,,,,,,,,,,,,d14619f3-a503-4336-9d84-51f832ef8cb0,2200,,"[71.9, 40.9]",69276,47,,,,,-1.9010937,,Left Foot,,,,"[68.3, 30.4]",,Ground Pass,,11.1,,,,,Andrés Iniesta Luján,,,,,,,2,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,94,Barcelona,217,['f6799f59-2135-4d15-83d3-60f3c16d4697'],14,,,,,,,,,,,,,,,Barcelona,00:02:14.505,Pass,
,,,,,,,,,,,,,,,,,,0.897,,,,,,,,,,,,235e2cd0-ecab-4ab3-aac5-d0558ad995e8,2206,,"[65.8, 34.1]",69276,47,,,,,-3.0845118,,Left Foot,,,,"[55.3, 33.5]",,Ground Pass,,10.517129,,,,,Eric-Sylvain Bilal Abidal,,,,,,Free Kick,2,From Free Kick,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,95,Barcelona,217,['4e441921-5b90-43ee-8896-f594eddf05f4'],40,,,,,,,,,,,,,,,Barcelona,00:02:40.877,Pass,
,,,,,,,,,,,,,,,,,,1.1118,,,,,,,,,,,,e444a0bd-d5c4-481b-bd42-f0a83748280f,2208,,"[55.3, 33.5]",69276,47,,,,,0.10191837,,Left Foot,,,,"[64.1, 34.4]",,Ground Pass,,8.845903,,,,,Sergio Busquets i Burgos,,,,,,,2,From Free Kick,Eric-Sylvain Bilal Abidal,20177.0,Left Center Back,95,Barcelona,217,['368b1bca-079d-411a-8c20-ccbbe6a45513'],41,,,,,,,,,,,,,,,Barcelona,00:02:41.774,Pass,
,,,,,,,,,,,,,,,,,,1.7752,,,,,,,,,,,,15a48cd8-9e12-4974-9a2f-45d93798cff8,2212,,"[63.0, 35.0]",69276,47,,,,,-2.685334,,Right Foot,,,,"[46.7, 27.0]",,Ground Pass,,18.157368,,,,,Eric-Sylvain Bilal Abidal,,,,,,,2,From Free Kick,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,95,Barcelona,217,"['18f5ff66-cf9b-42f5-9d1b-48e5446ace91', 'ed873c14-d8ad-4070-b5b8-e7eb0d733d07']",43,,,,,,,,,,,,,,,Barcelona,00:02:43.576,Pass,True
,,,,,,,,,,,,,,,,,,0.985,,,,,,,,,,,,c29faf4c-21a9-4475-9a51-bbb11f642ada,2214,,"[46.7, 27.0]",69276,47,,,,,-0.25933173,,Left Foot,,,,"[71.2, 20.5]",,Ground Pass,,25.347584,,,,,Andrés Iniesta Luján,,,,,,,2,From Free Kick,Eric-Sylvain Bilal Abidal,20177.0,Left Center Back,95,Barcelona,217,['d9bca28c-9508-4f83-9859-f7ed333d2836'],45,,,,,,,,,,,,,,,Barcelona,00:02:45.351,Pass,
,,,,,,,,,,,,,,,,,,0.9191,,,,,,,,,,,,217a9085-ad7b-4f17-9edd-6396039c477d,2217,,"[71.2, 20.5]",69276,47,,,,,2.4049363,,Right Foot,,,,"[62.6, 28.3]",,Ground Pass,,11.61034,,,,,Sergio Busquets i Burgos,,,,,,,2,From Free Kick,Andrés Iniesta Luján,5216.0,Left Center Midfield,95,Barcelona,217,['ea44f656-10fc-40b5-80fe-8f16d473f89c'],47,,,,,,,,,,,,,,,Barcelona,00:02:47.068,Pass,
,,,,,,,,,,,,,,,,,,0.9589,,,,,,,,,,,,7dc5f1d2-0af5-4c54-ba24-5b896a3f8176,2220,,"[62.4, 28.7]",69276,47,,,,,0.27147847,,Right Foot,,,,"[72.1, 31.4]",,Ground Pass,,10.068764,,,,,Lionel Andrés Messi Cuccittini,,,,,,,2,From Free Kick,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,95,Barcelona,217,['8a84d396-5270-4e57-ae58-8a39847592bf'],48,,,,,,,,,,,,,,,Barcelona,00:02:48.759,Pass,
